ID,Datum,accuracy,average_difficulty,boredom,comment,damage_taken,difficulty,easy_time,failures,familiarity,frequency,frustration,hard_time,highest_difficulty,hits,immersion,kills,longest_time_alive,lowest_difficulty,most_consecutive_deaths,perceived_difficulty,potions_used,quit,satisfaction,skill,skipped_tutorial,time,version
44,"2026-05-11 19:33:52",51,1.83,2,"Unfortunately, I do not really like this type of game and it was also too difficult for my skill level",21,0.69,01:42:82,1,1,2,3,04:47:83,2.9,240,2,57,08:05:08,0.6,1,4,6,1,2,2,,09:49:34,A
43,"2026-05-07 15:39:18",54,0.54,1,"This reminds me of the good old games I used to play turing breaktime at school. I really enjoyed playing :)",112,0.1,32:13:27,7,2,2,2,00:00:00,1.7,505,4,118,15:12:69,0.1,4,2,37,1,4,1,,39:48:65,A
42,"2026-05-06 08:03:02",58,1.50,1,"Fun and Engaging. Easy to follow for a beginner and not to difficult. I liked it.",62,1.5,00:00:00,3,1,1,2,00:00:00,1.5,499,4,124,08:35:44,1.5,2,3,20,,4,1,,19:41:02,B
41,"2026-05-03 13:02:29",57,1.50,2,"it was fun ok okokokokokokit was fun ok okokokokokokbbbbbbbit was fun ok okokokokokokit was fun ok okokokokokokit was fun ok okokokokokokit was fun ok okokokokokokit was fun ok okokokokokokit was fun ok okokokokokokit was fun ok okokokokokok",15,1.5,00:00:00,0,2,2,2,00:00:00,1.5,317,3,88,07:55:68,1.5,0,2,12,,4,3,,07:55:68,B
40,"2026-04-30 10:55:22",41,1.50,1,"Was fun playing",18,1.5,00:00:00,0,2,4,1,00:00:00,1.5,140,2,34,05:56:80,1.5,0,4,10,,4,4,,05:56:80,B
39,"2026-04-30 03:53:17",47,2.12,3,"Pretty simple, but fun for what it was!",19,2.9,00:00:00,0,3,5,2,04:16:04,2.9,298,3,89,08:11:45,1.5,0,3,12,,4,5,,08:11:45,A
38,"2026-04-29 23:11:52",49,1.93,5,"The wide open spaces and long corridors did not pair too well with the low movement speed. I got bored waiting to get to the next thing fairly often. The combat was pretty tedious, I tended to run past enemies when possible. I tried fighting more in the second stage. I like the highest level wizard and knight enemies, they are cool. I think the basic knight enemies have too much health, I would put them on 4 at most. The idea of trying to clear out the first stage of the large number of them sounded very unfun so I challenged myself to run past them all instead. I am glad that worked, else I might have quit early. The radar to nearby keys was very welcome and helpful. I think the activity of aiming with the mouse was not that fun. Perhaps that's because the projectile required too much precision or because the enemies did not require different reactions as they did not try to evade or use shields.",25,2.9,00:00:00,0,5,4,1,02:47:88,2.9,235,2,63,06:32:26,1.27,0,2,13,,2,5,,06:32:26,A
37,"2026-04-29 21:06:10",35,2.18,2,"It was a fun little game. The explosive bolts make it a little hard to see projectiles but overall was a benefit to have and felt satisfying. Damage felt a little unavboidable near the end but I assume thats why there is health after every key.",30,2.9,00:00:00,0,4,5,2,04:52:83,2.9,314,4,85,08:40:65,1.5,0,4,14,,4,3,,08:40:65,A
36,"2026-04-29 20:06:26",53,1.50,2,"A bit short but good",25,1.5,00:00:00,0,2,4,1,00:00:00,1.5,368,2,102,11:31:19,1.5,0,2,18,,3,3,,11:31:19,B
35,"2026-04-29 17:51:07",46,1.50,3,"The gameplay was pretty fun! It was a tad on the easy side, though; I never felt like I was at risk of dying.",28,1.5,00:00:00,0,2,5,1,00:00:00,1.5,256,3,79,06:19:78,1.5,0,2,18,,3,4,,06:19:78,B
